prediction	error	relative_error	error_decile	abs_error_decile
215970.8732943252	-40970.873294325196	-0.23411927596757254	3	4
70118.09749111981	-55118.097491119814	-3.674539832741321	2	5
13219253.026290111	55544.138983364435	0.08333897139758131	9	5
122761.38258486878	-52761.382584868785	-0.7537340369266969	2	5
43685.421334555635	-41685.421334555635	-20.842710667277817	3	4
179994.119412862	-41494.119412862	-0.29959653005676534	3	4
121872.87533558405	-39867.875335584045	-0.48616395750971336	3	4
53572.8001025118	-3572.800102511799	-0.07145600205023599	6	0
76278.15223246199	-45658.15223246199	-1.4911218887152837	3	4
44637.52846638486	-43637.52846638486	-43.63752846638486	3	4
108163.40800094437	-53163.40800094437	-0.9666074181989885	2	5
116957.84647659202	-46957.84647659202	-0.6708263782370288	3	5
70141.94192326469	-67141.94192326469	-22.380647307754895	1	7
165283.06218300553	-35283.06218300553	-0.2714081706385041	3	3
81252.07408527298	-76252.07408527298	-15.250414817054596	1	8
69764.48604328358	-49764.486043283585	-2.4882243021641792	2	5
62775.72306024896	-55775.72306024896	-7.967960437178423	2	6
95275.20994697981	48847.79005302019	0.33893126047209804	9	5
428831.214798841	-8831.214798840985	-0.021026701902002346	5	0
55368.29442175249	-52306.29442175249	-17.082395304295392	2	5
91100.50655412088	-69915.50655412088	-3.3002363254246343	1	7
283776.3454449914	-33776.34544499143	-0.1351053817799657	3	3
248500.91436726003	-38500.91436726003	-0.18333768746314302	3	4
55259.6119092548	-51259.6119092548	-12.8149029773137	2	5
47930.46910231009	-46430.46910231009	-30.953646068206726	3	4
118041.60605380539	-42266.606053805386	-0.5577909080013908	3	4
62584.9233843386	-33525.9233843386	-1.15371910197662	4	3
199627.88522576212	-44627.88522576212	-0.2879218401662072	3	4
60402.73040960134	-55992.73040960134	-12.696764265215723	2	6
89766.87502495505	-36766.87502495505	-0.6937146231123594	3	3
102448.35443609672	-40348.35443609672	-0.6497319554927008	3	4
4884.266386262898	1275.7336137371021	0.20709961261965942	6	0
86414.31916512683	-56414.31916512683	-1.8804773055042276	2	6
172411.97432824943	-47411.97432824943	-0.37929579462599544	3	5
11623420.282350125	55544.138983364435	0.08173326889318022	9	5
-1948.919218747178	6948.919218747178	1.3897838437494356	6	0
68338.1539700273	-46338.1539700273	-2.1062797259103316	3	4
9128989.591476293	55544.138983364435	0.07820442302071277	9	5
70895.15001563905	-55895.150015639054	-3.726343334375937	2	6
